DATE,GS1
1954-01-01,1.21
1955-01-01,2.73
1956-01-01,3.68
1957-01-01,3.18
1958-01-01,3.29
1959-01-01,5.14
1960-01-01,2.86
1961-01-01,3.18
1962-01-01,3.01
1963-01-01,3.81
1964-01-01,4.02
1965-01-01,4.72
1966-01-01,5.20
1967-01-01,5.71
1968-01-01,6.19
1969-01-01,8.17
1970-01-01,5.00
1971-01-01,4.60
1972-01-01,5.52
1973-01-01,7.27
1974-01-01,7.31
1975-01-01,6.60
1976-01-01,4.89
1977-01-01,6.96
1978-01-01,10.30
1979-01-01,11.98
1980-01-01,14.88
1981-01-01,12.85
1982-01-01,8.91
1983-01-01,10.11
1984-01-01,9.33
1985-01-01,7.67
1986-01-01,5.87
1987-01-01,7.17
1988-01-01,8.99
1989-01-01,7.72
1990-01-01,7.05
1991-01-01,4.38
1992-01-01,3.71
1993-01-01,3.61
1994-01-01,7.14
1995-01-01,5.31
1996-01-01,5.47
1997-01-01,5.53
1998-01-01,4.52
1999-01-01,5.84
2000-01-01,5.60
2001-01-01,2.22
2002-01-01,1.45
2003-01-01,1.31
2004-01-01,2.67
2005-01-01,4.35
2006-01-01,4.94
2007-01-01,3.26
2008-01-01,0.49
2009-01-01,0.37
2010-01-01,0.29
2011-01-01,0.12
2012-01-01,0.16
2013-01-01,0.13
2014-01-01,0.21
2015-01-01,0.65
2016-01-01,0.87
2017-01-01,1.70
2018-01-01,2.66
2019-01-01,1.55
2020-01-01,0.10
2021-01-01,.
