"year","Land.emissions","Total.Emissions.GTCO2.per.year","damages","DF","r"
2015,0.1,0.100000000000001,0.261608000045044,1,0.0510374776
2020,0,5.76019999698474e-06,0.958998000015754,0.779666705399355,0.0498806896
2025,0,-6.16300000189085e-06,1.7068050000546,0.611236456764708,0.0487686466
2030,0,-1.73758000059365e-05,2.42513100005226,0.481737852486708,0.0477472411
2035,0,-2.60629999999651e-05,3.09364099990717,0.381529516800433,0.0467750559
2040,0,-3.20426999991241e-05,3.72808999998142,0.303571724062251,0.0458212314
2045,0,-3.59416000037527e-05,4.36211800007413,0.242646508040772,0.0449243591
2050,0,-3.87186000025963e-05,4.99884199996359,0.194782429441992,0.0440274165
2055,0,-4.04426000031322e-05,5.67268700024215,0.157032758853152,0.0431855172
2060,0,-4.1851699997153e-05,6.37744500011195,0.127110818594608,0.0423418536
2065,0,-4.27693000020213e-05,7.139855999867,0.103307447925516,0.0415456535
2070,0,-4.36576000026889e-05,7.951673000548,0.0842830180075464,0.040754305
2075,0,-4.43300999961593e-05,8.82944900013172,0.0690238212010171,0.0400061052
2080,0,-4.50281000041741e-05,9.76341000011871,0.0567308844811638,0.0392668329
2085,0,-4.55784000052972e-05,10.7640950000132,0.0467933585400789,0.0385651042
2090,0,-4.61146999981565e-05,11.8227799998749,0.038727154335782,0.0378741761
2095,0,-4.65064999985998e-05,12.9461589995117,0.0321582239636797,0.0372062117
2100,0,-4.68281000109982e-05,14.1343969994523,0.0267896173445026,0.0365678435
2105,0,-4.70752000012453e-05,15.3836710001087,0.022386069634034,0.0359528648
2110,0,-4.72107999911486e-05,16.691693000439,0.018761945565172,0.0353592196
2115,0,-4.72173999952474e-05,18.0569130009189,0.0157696696612684,0.0347859152
2120,0,-4.70849000038243e-05,19.478330000311,0.0132913793128809,0.0342322312
2125,0,-4.68068000003541e-05,20.9546849998787,0.0112325849381006,0.0336975299
2130,0,-4.63819000060539e-05,22.4859130003097,0.00951726843826209,0.0331812099
2135,0,-4.58095000013259e-05,24.0713519997371,0.00808406548475877,0.032682695
2140,0,-4.50904000004471e-05,25.7105989999218,0.00688327824605555,0.0322014292
2145,0,-4.42265000017983e-05,27.4033450000388,0.00587452890825829,0.0317368763
2150,0,-4.32192999966219e-05,29.1490749987133,0.00502490989391565,0.0312885202
2155,0,-4.20701000010126e-05,30.9472970002389,0.00430752058288551,0.0308558663
2160,0,-4.07795999990412e-05,32.7969180011678,0.0037003058963988,0.0304384436
2165,0,-3.93485999978793e-05,34.6979139999348,0.00318513146873419,0.0300358056
2170,0,-3.77761000009968e-05,36.6481800006113,0.00274704487718205,0.029647531
2175,0,-3.60629999960338e-05,38.649204000194,0.00237368367048145,0.029273222
2180,0,-3.42063000005055e-05,40.695564998714,0.00205479959450687,0.0289125015
2185,0,-3.22089999968966e-05,42.7906460004124,0.00178187506781748,0.0285650054
2190,0,-3.00685000027556e-05,44.9328679997052,0.00154781314085571,0.02823037
2195,0,-2.77834000002031e-05,47.1171209983368,0.00134668615040964,0.0279082096
2200,0,-2.53561999983276e-05,49.3491259999246,0.00117353141662166,0.027598074
2205,0,-2.27837999986491e-05,51.6249819997938,0.00102418476802679,0.0272993769
2210,0,-2.00663999976314e-05,53.9443099978598,0.000895144585560941,0.0270112651
2215,0,-1.72035000005621e-05,56.3093089976974,0.000783460585026339,0.0267323868
2220,0,-1.41935000002036e-05,58.7111930008177,0.00068664276007852,0.0264604807
2225,0,-1.10375000001994e-05,61.1591239976406,0.000602586888868645,0.0261916436
2230,0,-7.73169999934709e-06,63.6425929997131,0.000529513831504119,0.0259190427
2235,0,-4.27310000006287e-06,66.1517660000754,0.0004659205365497,0.0260190348
2240,0,9.63599999970199e-06,68.9631030036253,0.000409764908878988,0.0257842363
2245,0,9.46040000116e-06,71.7809580009998,0.000360790139863368,0.0255557692
2250,0,9.26819999946815e-06,74.6322929990129,0.000318022794687629,0.0253203824
2255,0,9.0680000006671e-06,77.5246190005419,0.000280646929804954,0.0250799281
